,Commodity Group,Commodity,Op.,IMO,Vessel,Port,Arrived at Port,Sailed from Port,Berth,Tons,Coord.,Destination / Origin,Time at Port,Time at Berth,Shipper
30878,Grains,Maize,load,9630664,FIJI,San Lorenzo - Argentina,2022-11-14 15:42:00,2022-11-17 16:50:00,Terminal 6-North,25513.49,Olam,South Korea,3.05,2.4,Bunge
30879,Grains,Maize,load,9630664,FIJI,San Lorenzo - Argentina,2022-11-14 15:42:00,2022-11-17 16:50:00,Terminal 6-North,22000.0,Olam,South Korea,3.05,2.4,AGD
30880,Grains,Maize Par,load,9851359,BC PISTI,San Lorenzo - Argentina,2022-11-16 22:00:00,2022-11-18 12:40:00,LDC Timbues,35200.0,Graneles Chile,Chile,1.61,1.33,Dreyfus Paraguay
30881,Grains,Maize,load,9546124,NIKITIS,San Lorenzo - Argentina,2022-11-16 21:50:00,2022-11-18 15:30:00,Renova-North,39861.37,Viterra,Algeria,1.74,1.35,Viterra Argentina S.A
30882,Grains,Maize,load,9323900,ELEOUSSA,San Lorenzo - Argentina,2022-11-17 14:54:00,2022-11-19 09:15:00,ACA,31572.0,Aston Group,Saudi Arabia,1.76,1.1,ACA
30883,Grains,Maize,load,9709257,TOMINI SHAMAL,San Lorenzo - Argentina,2022-11-17 01:15:00,2022-11-19 19:45:00,Terminal 6-North,23010.22,Gavilon,Dominican Republic,2.77,1.56,AGD
30884,Grains,Maize,load,9674218,BUBBA BOOSH,San Lorenzo - Argentina,2022-11-18 12:58:00,2022-11-20 21:30:00,ACA Timbues,24947.81,Bunge,Morocco,2.36,0.87,ACA
30885,Grains,Wheat,load,9278739,NONG LYLA,San Lorenzo - Argentina,2022-11-15 00:00:00,2022-11-20 00:40:00,Dempa,11000.0,Bunge,Brazil,5.03,1.99,Bunge
30886,Grains,Wheat,load,9278739,NONG LYLA,San Lorenzo - Argentina,2022-11-15 00:00:00,2022-11-20 00:40:00,Dempa,10000.0,Bunge,Brazil,5.03,1.99,Viterra Argentina S.A
30887,Grains,Wheat,load,9278739,NONG LYLA,San Lorenzo - Argentina,2022-11-15 00:00:00,2022-11-20 00:40:00,Dempa,6000.0,Bunge,Brazil,5.03,1.99,Dreyfus
30888,Grains,Maize,load,9597226,TRANSPACIFIC,San Lorenzo - Argentina,2022-11-18 02:05:00,2022-11-22 23:05:00,Pampa,30576.0,Bunge,Malaysia,4.88,4.57,Bunge
30889,Grains,Maize Par,load,9769697,NANJING CONFIDENCE,San Lorenzo - Argentina,2022-11-19 09:18:00,2022-11-23 01:15:00,LDC Timbues,13410.99,Graneles Chile,Chile,3.66,1.51,Dreyfus Paraguay
